32 , 256 , 0.1595
32 , 256 , 0.1595
64 , 256 , 0.1795
64 , 256 , 0.1801
96 , 256 , 0.2665
96 , 256 , 0.2662
128 , 256 , 0.3535
128 , 256 , 0.3532
192 , 256 , 0.5286
192 , 256 , 0.5286
256 , 256 , 0.7042
256 , 256 , 0.7031
32 , 512 , 0.2527
32 , 512 , 0.2523
64 , 512 , 0.5046
64 , 512 , 0.5046
96 , 512 , 0.7525
96 , 512 , 0.7507
128 , 512 , 1.0077
128 , 512 , 1.0061
192 , 512 , 1.5084
192 , 512 , 1.5081
256 , 512 , 1.9986
256 , 512 , 1.9998
32 , 1024 , 1.0815
32 , 1024 , 1.0814
64 , 1024 , 2.1442
64 , 1024 , 2.1447
96 , 1024 , 3.2488
96 , 1024 , 3.2536
128 , 1024 , 4.3891
128 , 1024 , 4.3894
192 , 1024 , 6.8313
192 , 1024 , 6.8303
256 , 1024 , 20.2773
256 , 1024 , 19.9068
32 , 2048 , 5.9033
32 , 2048 , 5.9117
64 , 2048 , 23.9381
64 , 2048 , 24.2948
